VID,RunAs
A150-630,"SYSTEM, Admin"
A104-518,"User, SYSTEM, Admin"
A104-519,"User, SYSTEM, Admin"
A104-563,"Admin, SYSTEM"
A104-729,"SYSTEM, Admin"
A104-901,"Admin, SYSTEM"
A104-585,"User, SYSTEM, Admin"
A104-791,"SYSTEM, Admin, User"
A150-540,"User, SYSTEM, Admin"
A150-611,"SYSTEM, Admin"
A150-613,"SYSTEM, Admin"
A105-082,"Admin, SYSTEM"
A104-134,"SYSTEM, Admin"
A105-128,"SYSTEM, Admin"
A104-524,"User, SYSTEM, Admin"
A104-212,"SYSTEM, Admin"
A104-517,"SYSTEM, Admin"
A104-146,"SYSTEM, Admin"
A105-992,"User, SYSTEM, Admin"
A105-084,"SYSTEM, Admin"
A104-573,"User, Admin, SYSTEM"
A150-800,"Admin, SYSTEM"
A150-131,"Admin, User, SYSTEM"
A104-488,"User, SYSTEM, Admin"
A150-375,"User, SYSTEM, Admin"
A105-953,"SYSTEM, User, Admin"
A104-724,"SYSTEM, Admin"
A104-956,"User, Admin, SYSTEM"
,
A105-172,"User, Admin"
